lat,month,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
34.87,Dec,12.994,14.686,14.124,13.762,14.272,13.955,13.205,14.029,13.323,16.333,12.341,12.963,13.621,12.378,14.587,13.142,13.777,13.434,13.669,13.002,13.597,13.352,12.966
34.71,Jan,12.81,11.711,13.93,13.222,13.67,13.927,14.034,13.461,13.171,13.589,15.633,12.968,12.937,13.13,12.454,14.167,13.144,14.185,12.717,12.645,12.075,12.739,13.501
34.71,Feb,13.025,11.58,12.436,13.474,14.303,14.127,13.875,13.779,13.543,12.884,14.92,12.126,13.076,11.937,12.35,13.906,12.673,13.981,12.194,13.145,11.975,12.529,13.498
34.71,Mar,13.297,11.859,11.563,12.591,14.774,13.859,14.058,14.086,14.326,12.257,14.148,11.71,12.16,12.541,12.533,12.374,12.746,14.646,12.229,12.096,11.305,11.725,12.979
34.71,Apr,13.461,13.355,13.333,11.739,14.29,12.206,13.62,12.263,13.781,11.832,13.313,11.799,11.912,11.872,12.372,11.924,12.186,12.315,13.068,11.332,10.351,10.887,12.565
34.71,May,11.721,12.329,12.7,10.759,14.635,13.339,13.391,11.952,13.41,13.085,13.548,11.257,11.586,13.265,11.391,11.527,12.382,13.251,12.335,11.436,11.228,11.774,11.041
34.71,Jun,12.097,13.062,12.98,12.883,15.173,13.921,13.028,12.615,12.655,13.982,14.413,12.552,13.653,14.365,12.889,13.736,12.501,12.683,12.784,12.494,12.235,14.584,11.524
34.71,Jul,15.284,13.981,15.307,15.266,15.389,16.899,14.411,14.035,14.166,15.434,15.424,14.472,14.738,15.09,14.678,13.475,14.685,13.516,14.171,13.642,14.225,14.649,14.071
34.71,Aug,15.441,15.109,16.725,15.384,15.65,15.823,15.637,14.585,14.257,17.756,17.048,13.784,14.887,14.426,14.515,14.678,15.732,15.458,16.588,14.65,15.324,14.088,13.637
34.71,Sep,14.589,14.299,15.885,15.587,16.171,15.443,16.181,14.487,15.712,18.512,16.941,15.491,16.145,15.749,14.106,14.591,16.414,15.158,15.602,15.145,15.915,14.501,13.495
34.71,Oct,15.212,15.564,15.845,15.662,16.475,16.345,15.803,16.566,14.717,17.878,15.192,14.993,15.701,15.068,15.199,15.096,15.8,13.461,15.928,13.656,14.98,14.869,14.921
34.71,Nov,13.62,15.486,15.244,14.326,16.556,15.7,13.952,15.836,14.055,18.159,13.699,14.01,14.19,15.035,14.513,14.806,15.282,14.084,14.114,13.991,14.787,14.42,14.118
34.71,Dec,12.747,15.061,14.21,13.998,14.622,14.207,13.355,14.346,13.595,16.24,12.453,13.137,13.671,12.729,14.823,13.337,13.976,13.51,13.901,13.143,13.47,13.582,13.276
33.74,Jan,13.727,12.867,15.746,14.732,14.291,14.555,14.968,14.681,15.12,14.2,16.91,14.318,14.078,13.843,14.284,15.641,14.184,15.276,14.196,14.724,13.625,14.14,15.355
